Crowdmark ID,Full Name,ID,Last Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Total
34,"Maguire, Mr. John Edward",d8c693e9-e869-4b05-b6da-6782fadb1da5,Maguire,5,5,1,3,4,6,15,39
35,"Lesurer, Mr. Gustave J",df2fbe51-1511-431a-996d-3461d980c694,Lesurer,5,5,2,3,0,5,-1,19
36,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",a616bc76-8c77-4d9c-9ddb-2c46bc45a378,Mayne,4,0,3,2,2,6,15,32
37,"Crafton, Mr. John Bertram",89869f00-6732-4ccc-afff-b43f1cd3e78c,Crafton,2,2,4,6,5,2,-3,18
38,"Banfield, Mr. Frederick James",e6ceb259-7040-4a5b-852d-98d96f6d45c1,Banfield,6,1,4,3,3,5,15,37
39,"Chapman, Mr. Charles Henry",dfc7f493-d3f8-4138-9219-d74817fe167c,Chapman,6,3,6,4,4,5,-14,14
40,"Williams-Lambert, Mr. Fletcher Fellows",c106dd34-94a0-42aa-8a9b-98cdec5947c5,Williams-Lambert,1,4,0,6,3,1,22,37
41,"Dibden, Mr. William",63efdd06-e46b-43a2-8fc9-167efe93ec60,Dibden,1,0,2,3,3,5,-11,3
42,"Collander, Mr. Erik Gustaf",1e6d2609-a67b-4772-b1ff-5c85b8bc0b9e,Collander,3,2,1,2,5,5,-9,9
43,"Rowe, Mr. Alfred G",8e229a00-f1b9-4f15-aad1-617a709d800e,Rowe,4,6,5,0,4,1,-5,15
44,"Smith, Mr. Lucien Philip",e4888a95-641c-42cc-85eb-f211ecc4b6a2,Smith,0,4,6,5,0,3,-10,8
45,"Graham, Mr. George Edward",72b1396a-10d3-4149-93a4-f9dafdabbf47,Graham,1,1,1,6,4,0,0,13
46,"Kreuchen, Miss. Emilie",ed78ecb4-4a7d-4396-af83-77af90b85004,Kreuchen,4,2,5,4,6,3,2,26
47,"Guggenheim, Mr. Benjamin",85076fb7-2f7d-47bd-a5ca-11b88e19f5f4,Guggenheim,0,1,5,1,1,3,22,33
48,"Carter, Miss. Lucile Polk",60963b14-a01a-409a-942e-9af2d642a82a,Carter,6,4,5,1,3,4,-15,8
49,"Dodge, Dr. Washington",35030dbf-272e-456a-ad77-9dac05f9f8ad,Dodge,3,0,6,3,4,0,-15,1
50,"Warren, Mr. Frank Manley",9d81209b-c89d-4e60-bf4b-cd66163f75d3,Warren,4,6,3,3,3,3,-6,16
51,"Isham, Miss. Ann Elizabeth",1f826275-c874-4e80-8bbc-b0b02823bdf6,Isham,5,0,3,1,0,2,-6,5
52,"Cook, Mrs. (Selena Rogers)",08689fba-2bc1-439e-8e36-10ee31ec3d5c,Cook,2,0,1,4,3,2,3,15
53,"Harder, Mrs. George Achilles (Dorothy Annan)",337e997a-a7da-4174-a952-0e0eae6ff74c,Harder,5,3,5,3,6,3,-10,15
54,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",ed50ffe1-a4ff-427c-8d0c-45511b46eacb,Swift,6,6,6,1,0,6,8,33
55,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",e0b16b9f-8f68-48f8-b962-787ddcf764cb,Douglas,0,0,2,4,2,4,15,27
56,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",1c4f681a-8722-4ff3-982e-f224e9a7c9a6,Chapman,0,5,5,5,2,4,19,40
57,"Campbell, Mr. William",941ed10e-86b1-4a46-994a-5a8cfea5901e,Campbell,2,2,5,2,0,0,16,27
58,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",324253a7-adae-4fbf-b9f5-1c07be6fc7d7,Cardeza,6,3,2,0,6,4,-9,12
59,"Compton, Mr. Alexander Taylor Jr",d814645e-cd06-461d-9fb5-cfd05f405604,Compton,3,3,2,4,2,6,-18,2
60,"Bishop, Mrs. Dickinson H (Helen Walton)",90759853-3cfa-42ce-b8e5-effac2b713f5,Bishop,0,5,4,4,3,0,-15,1
61,"Bystrom, Mrs. (Karolina)",1e99b5f2-7b21-4f89-b212-4657b23bd0cd,Bystrom,2,5,1,6,5,0,18,37
62,"Flynn, Mr. John Irwin (""Irving"")",386ebc92-9773-473a-a590-f434c6b60f77,Flynn,2,3,0,1,1,1,13,21
63,"Widener, Mr. George Dunton",9343b4a8-7327-456c-8080-198efd04b66f,Widener,3,1,4,1,0,4,-12,1
64,"Frauenthal, Dr. Henry William",3b5d4e3d-25ae-4ef8-a960-4baa68583f70,Frauenthal,6,2,4,5,5,0,-5,17
65,"Clarke, Mrs. Charles V (Ada Maria Winfield)",b8ca83f6-a4e7-41e8-97d9-85588fb4108f,Clarke,2,2,1,0,0,2,2,9
66,"Straus, Mr. Isidor",96916613-8303-4484-9375-3015758d5cc4,Straus,3,4,4,4,1,5,-13,8
67,"Porter, Mr. Walter Chamberlain",33430bbd-3e97-4a1f-9b53-f376d9586b7f,Porter,3,5,4,5,6,1,18,42
68,"Ostby, Miss. Helene Ragnhild",c34a4ab3-2a8c-4ada-856f-24001e57a58b,Ostby,0,2,4,6,5,1,12,30
69,"Longley, Miss. Gretchen Fiske",5c892735-58ff-4c54-a740-3cda4a1fc44e,Longley,2,0,3,5,3,4,21,38
70,"Chambers, Mr. Norman Campbell",3a003956-83e9-46f0-9098-6857ecbfcee2,Chambers,4,3,0,4,2,3,21,37
71,"Salomon, Mr. Abraham L",da74e5e7-212d-4e52-afb6-0ce9d5af4fab,Salomon,3,3,5,5,3,6,3,28
72,"Uruchurtu, Don. Manuel E",990e0e8d-da53-401f-a3ef-d9939cdc3f95,Uruchurtu,0,6,1,1,4,5,-9,8
73,"Butler, Mr. Reginald Fenton",7eb1bb64-0ccc-467e-ba99-ab48212d4e9f,Butler,5,1,6,4,6,4,-11,15
74,"Collyer, Miss. Marjorie ""Lottie""",c6112586-cae3-4cbb-8f05-3cc6d674b878,Collyer,6,6,1,0,1,0,-2,12
75,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",ef87da23-a07d-41ad-a2f3-fd7618a09ffb,Hays,1,0,1,6,4,4,25,41
76,"Lurette, Miss. Elise",22604e81-5f78-4b10-bdb0-359af17292af,Lurette,6,6,2,0,0,4,-15,3
77,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",8cdf4668-2748-49b9-832f-fdc66128a301,Ryerson,6,3,6,0,0,2,-6,11
78,"Clark, Mr. Walter Miller",d89868b0-1286-4aaa-ad79-0db7e65b1bf9,Clark,5,0,4,1,5,2,16,33
79,"Cotterill, Mr. Henry ""Harry""",fc1d21c6-ae02-48fa-89ec-b560ac88bd54,Cotterill,0,4,5,1,5,4,10,29
80,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",1523e1b0-ed40-4682-9e9a-31aa1c470585,Thayer,5,4,5,5,1,3,6,29
81,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",7ed49499-1cdf-4745-969a-e8778be57a66,Compton,5,0,3,4,6,3,-6,15
82,"Franklin, Mr. Thomas Parham",7109b7d1-2fc7-4ca9-949d-a8e0f993b70b,Franklin,5,3,5,4,2,1,-12,8
83,"White, Mr. Percival Wayland",ef5b1afa-0b3b-4a91-b7f5-af143b66e259,White,4,6,6,0,5,1,-20,2
84,"McGough, Mr. James Robert",3684bab3-257a-4667-9755-01cd7aa97380,McGough,4,1,4,3,2,0,-10,4
85,"Bentham, Miss. Lilian W",f2247e25-4430-481d-9a62-5f6dbe306029,Bentham,1,0,5,1,3,6,-2,14
86,"Spedden, Master. Robert Douglas",4338704a-dbaa-49bb-93eb-8af9be9d1f9b,Spedden,1,1,2,3,0,1,1,9
87,"Lewy, Mr. Ervin G",af1a8ba7-beed-47a2-afc7-a5192ecc9701,Lewy,0,2,0,2,1,5,14,24
88,"Saalfeld, Mr. Adolphe",3cf06480-1174-4e95-ba2f-d3c02449d34f,Saalfeld,1,2,5,6,3,3,-17,3
89,"Rheims, Mr. George Alexander Lucien",44898235-b04e-4a5c-9ab9-ee89855174b3,Rheims,6,2,3,2,2,6,5,26
90,"Gracie, Col. Archibald IV",5e4b1103-558e-4cd6-b9b2-f0a4724196b2,Gracie,1,6,2,1,3,4,13,30
91,"Brown, Mr. Thomas William Solomon",b5c716a1-a9d8-487d-98da-497638ed2fad,Brown,6,5,6,2,5,2,6,32
92,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",2a6e6a1b-fea4-4591-bb0f-d2784a4e548d,Becker,0,4,3,6,0,0,-7,6
93,"Fortune, Mr. Charles Alexander",8722a8ea-5c0a-4a26-ad7a-d3045946e7a8,Fortune,6,6,2,4,4,2,-19,5
94,"Astor, Col. John Jacob",be4015b9-0cbb-4c5d-90b2-7388563dd5ed,Astor,2,3,4,6,4,6,-19,6
95,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",2803a07a-462f-443f-a2e4-d9bb54267067,Rothes,1,5,0,6,4,2,7,25
96,"Keeping, Mr. Edwin",adea6fae-8d45-4cb4-903f-b4b93951adf2,Keeping,2,6,3,4,3,1,10,29
97,"Graham, Miss. Margaret Edith",db4cefac-c1ff-4724-9d9b-9b6733697d88,Graham,3,5,2,4,3,6,17,40
98,"Simonius-Blumer, Col. Oberst Alfons",60fa88ca-1882-4f8b-a469-ca7edea920cb,Simonius-Blumer,3,0,3,3,2,3,19,33
99,"Davidson, Mrs. Thornton (Orian Hays)",15fbf75f-df67-4288-9f30-d03fe6b1fb5e,Davidson,1,6,5,1,4,1,8,26
100,"Baxter, Mr. Quigg Edmond",28126485-4d92-47f2-9d2b-d65f32594d5c,Baxter,6,1,0,5,2,3,12,29
101,"Walker, Mr. William Anderson",e0d27cc2-bc2d-4c04-bf38-15a57665ab5e,Walker,5,4,1,5,6,5,-25,1
102,"Barkworth, Mr. Algernon Henry Wilson",84c596b8-9e0b-4c6d-adb6-2491b69f0a8d,Barkworth,6,2,3,6,4,5,3,29
103,"Rosenshine, Mr. George (""Mr George Thorne"")",604fe668-4aff-4b5c-9b39-95aac92d2061,Rosenshine,2,5,3,0,6,2,-14,4
104,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",66eb7226-7582-4f52-b366-15351abb53c6,Potter,6,5,2,5,1,5,9,33
105,"Greenfield, Mrs. Leo David (Blanche Strouse)",d5c384c6-c56f-40de-a718-3bd390368e2b,Greenfield,2,3,0,3,6,3,9,26
106,"Aubart, Mme. Leontine Pauline",e502c238-7b62-4ddf-99d5-98c2e49149c4,Aubart,1,5,4,6,2,5,-13,10
107,"Dulles, Mr. William Crothers",9150098e-9215-4dcb-9927-3d0c97e294c4,Dulles,2,2,4,6,0,5,12,31
109,"Perreault, Miss. Anne",5cf38eac-13f0-4d81-8efe-00a1646e049f,Perreault,4,5,6,6,4,4,-29,0
110,"Dick, Mrs. Albert Adrian (Vera Gillespie)",71b7daea-1cea-42ec-a7f5-d306b474b1d4,Dick,6,6,4,2,0,3,-5,16
111,"Bowen, Miss. Grace Scott",76bfebd2-a4d8-47cc-80e3-20f188dcfad3,Bowen,6,1,4,4,4,1,-12,8
112,"Nicholson, Mr. Arthur Ernest",5ab7208f-2296-487f-8ddc-aa9856c7b108,Nicholson,1,3,6,1,4,6,3,24
113,"Bradley, Mr. George (""George Arthur Brayton"")",77832492-9684-476f-80d3-e29a0d797db1,Bradley,2,6,6,3,6,2,-2,23
114,"Natsch, Mr. Charles H",733d2e9f-8aab-45b0-acac-bf3610c62190,Natsch,2,5,4,3,0,4,-15,3
115,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",e96f1b57-a698-4953-8da4-2f67156d0609,Romaine,4,5,1,5,4,0,-6,13
116,"Fortune, Mr. Mark",f8c870e6-fae0-4c36-aee4-3170766d3f75,Fortune,2,0,0,1,1,0,24,28
117,"Beane, Mrs. Edward (Ethel Clarke)",dcb5e1ab-1f07-4dac-b47e-fc33d649f300,Beane,1,5,3,5,3,5,2,24
118,"Blackwell, Mr. Stephen Weart",ca7594b8-8f17-4843-8570-ee6299d94e13,Blackwell,3,4,2,0,3,5,8,25
119,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",ded4f8dc-4c11-4d68-a399-f4de38568bfa,Robert,2,4,4,4,5,2,-11,10
120,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",d3036e7a-17e2-451f-9810-da986c5ca1c0,Holverson,6,6,2,0,1,1,0,16
121,"Carter, Rev. Ernest Courtenay",f09fd357-a1d4-4d54-95e3-50a0a026ece2,Carter,0,1,5,0,6,0,28,40
122,"Julian, Mr. Henry Forbes",12cc912f-b394-44fd-b394-223211d52798,Julian,0,2,4,1,5,0,18,30
123,"Greenfield, Mr. William Bertram",8724ad53-e4cd-4ffc-843e-3e0be8702b9f,Greenfield,1,3,5,1,5,0,9,24
124,"Snyder, Mr. John Pillsbury",67bc61a9-2d6a-4df4-b9a9-50c6129bdcc8,Snyder,6,3,2,1,3,4,16,35
125,"Widener, Mrs. George Dunton (Eleanor Elkins)",33e155fe-3cdb-4293-a6b9-b947061a8147,Widener,5,5,0,5,0,3,-3,15
126,"Fry, Mr. Richard",26d6f609-ce7d-4d32-acfe-5f8532370224,Fry,3,1,0,4,4,0,16,28
127,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",931f8308-4a82-4795-b6aa-928205343c22,Brown,6,5,5,4,3,0,-22,1
128,"Williams, Mr. Charles Duane",2e481851-b0ab-4d20-8ac8-0b26d75efe9d,Williams,4,5,5,6,2,3,0,25
129,"Carter, Master. William Thornton II",a7227878-cf61-4278-8b5a-d3d7b5969665,Carter,4,3,6,6,3,4,18,44
130,"Rothschild, Mr. Martin",864a3191-0eca-417e-b091-c7f061e80a0c,Rothschild,2,5,0,1,0,0,15,23
131,"Newell, Miss. Marjorie",1f9f3a34-dd8e-4045-84aa-42b204c2c4f6,Newell,6,0,0,6,4,1,23,40
132,"Smart, Mr. John Montgomery",3ef53085-14a8-4f61-84ee-6bcc0674651b,Smart,5,2,5,0,6,3,-5,16
133,"Serepeca, Miss. Augusta",ebfc5c69-ee24-401a-a15e-cbf49ca77c87,Serepeca,5,1,0,2,3,3,6,20
134,"Barber, Miss. Ellen ""Nellie""",57dcb0fd-1f89-4d17-b5fe-bad04743d9ad,Barber,6,3,0,4,5,2,22,42
135,"Bryhl, Miss. Dagmar Jenny Ingeborg ",c7b2cd28-5092-4a68-964d-f09040b95760,Bryhl,2,1,1,2,0,4,10,20
136,"Allen, Miss. Elisabeth Walton",770db845-7512-4e99-9ca3-c18f13a27f72,Allen,4,4,4,3,1,2,-9,9
137,"Gee, Mr. Arthur H",eeaec519-0b90-4203-bde1-8c441cd0b703,Gee,3,5,0,6,3,6,4,27
138,"Brown, Miss. Edith Eileen",5383f330-41b7-492a-81c5-a105ee9ee32b,Brown,1,6,5,4,1,1,-18,0
139,"Foreman, Mr. Benjamin Laventall",07ce1c0a-c00f-45c5-901a-8f8ad9aaf7bd,Foreman,3,3,1,0,3,1,11,22
140,"Molson, Mr. Harry Markland",c43acf7d-ec2e-4be6-824a-77f87764a1a2,Molson,2,5,1,6,6,6,-6,20
141,"Harder, Mr. George Achilles",79625c89-eddc-410f-a1b4-1dcf9eca1455,Harder,5,6,2,0,0,2,-6,9
142,"Ismay, Mr. Joseph Bruce",9d23d393-bfff-4676-bb5f-f05367810022,Ismay,1,5,5,4,3,5,12,35
143,"Icard, Miss. Amelie",0702b8ae-3c8f-4901-bcbc-52a0c5bc0900,Icard,0,1,6,4,1,5,-17,0
144,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",e348ed44-7764-4c1b-894f-10e8fa84990d,Hoyt,1,3,1,0,0,5,-2,8
145,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",643dee4a-5318-4c3c-a687-71af52957333,Smith,2,4,5,1,0,0,-11,1
146,"Calderhead, Mr. Edward Pennington",35851b69-7d41-4a7e-8d59-6b021e0a2dc0,Calderhead,5,6,5,0,0,5,4,25
147,"McCarthy, Mr. Timothy J",f4a75522-ac5a-404c-ae28-346d3d075546,McCarthy,6,5,1,4,3,0,24,43
148,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",5a28040e-0dbb-4953-aff3-c29f758e1724,Crosby,0,4,2,5,6,0,9,26
149,"Wick, Mrs. George Dennick (Mary Hitchcock)",a205ed2a-16d8-4f88-a1ed-ff3d890f401e,Wick,3,2,0,4,1,3,21,34
150,"Earnshaw, Mrs. Boulton (Olive Potter)",9cc3164e-e361-47e0-8778-524df10877a7,Earnshaw,1,6,1,0,2,0,17,27
151,"Klaber, Mr. Herman",b57f1857-8892-4f8e-9776-e44e1f2d9324,Klaber,3,6,4,4,5,1,14,37
152,"Collyer, Mr. Harvey",21cd8036-6409-4969-ae00-936dfd590adb,Collyer,0,6,4,5,6,6,-27,0
153,"Stahelin-Maeglin, Dr. Max",0c96500b-8c6d-4848-b21c-1b3447e060b2,Stahelin-Maeglin,5,3,2,3,3,4,17,37
154,"Seward, Mr. Frederic Kimber",547f2f29-5c56-45f1-8ee8-61ef8278637a,Seward,3,4,2,6,5,1,-2,19
155,"Spedden, Mr. Frederic Oakley",6f332e0d-aacc-47ef-a5a1-f238cd20c4d7,Spedden,6,6,3,4,1,4,3,27
156,"Taussig, Miss. Ruth",bd54630a-d5ad-43a8-8c06-e3ad81814f35,Taussig,5,3,0,0,1,3,24,36
157,"Penasco y Castellana, Mr. Victor de Satode",4e426f70-2b59-42ab-9c11-3509dc9f3eff,Penasco y Castellana,4,3,6,5,0,0,16,34
158,"Wick, Mr. George Dennick",0e246865-7f63-48b9-b744-f62a686ec595,Wick,2,5,0,0,5,4,10,26
159,"Smith, Mr. Richard William",387cd735-7aa7-411c-9f97-7242667f94e4,Smith,2,1,4,5,1,1,-10,4
160,"Andrews, Mr. Thomas Jr",821b105b-07cd-4baa-a457-ac07d5fa40a5,Andrews,0,0,4,3,4,1,-3,9
161,"Roebling, Mr. Washington Augustus II",f2cd4beb-1deb-4253-8385-9372c0f6baa3,Roebling,0,4,1,2,1,1,10,19
162,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",f6a819ee-4650-4d72-a361-01ff82f35cc2,Frolicher-Stehli,5,5,2,3,2,0,2,19
163,"Andrew, Mr. Edgardo Samuel",4d1fa7f0-65be-4d0f-8a16-9c8568bd96bb,Andrew,1,1,2,6,2,6,19,37
164,"Dodge, Mrs. Washington (Ruth Vidaver)",07988cbf-c34c-41fa-8a1a-c875545a7853,Dodge,5,0,2,4,2,3,2,18
165,"Drew, Mr. James Vivian",930f9d7a-d3cd-4725-9161-2904f60ab963,Drew,5,1,0,2,6,1,26,41
166,"Omont, Mr. Alfred Fernand",6e777718-d8a4-4c6d-bbd6-a8af06224d1c,Omont,1,5,0,3,5,6,-6,14
167,"Dodge, Master. Washington",fb7f46ae-56ca-4dcf-8836-08e407cb8766,Dodge,4,5,2,1,1,6,-3,16
168,"Sutton, Mr. Frederick",1a8f862a-c188-4baa-83fd-7fcbebdc4353,Sutton,1,6,6,4,2,4,-17,6
169,"Smith, Mr. James Clinch",fae4d644-42c5-42a9-93fa-dfb9323de0d5,Smith,2,4,3,0,2,0,-9,2
170,"Cumings, Mr. John Bradley",b3846e9f-f1e1-4853-88a7-9765bb10a3c2,Cumings,2,2,6,3,2,3,17,35
171,"Drew, Master. Marshall Brines",67a42c7b-18cd-4762-86e6-25b6ee3cd1c7,Drew,1,2,6,6,3,4,-20,2
172,"Giglio, Mr. Victor",897487ae-3e16-4d08-8560-0756f44448f2,Giglio,5,3,2,2,2,4,21,39
173,"Straus, Mrs. Isidor (Rosalie Ida Blun)",78ff1ae5-1c74-443d-8cb8-375922ff59da,Straus,5,2,5,5,4,2,-21,2
174,"Ryerson, Miss. Emily Borie",6c59420d-5efb-467d-a260-3a5b4ea31ab0,Ryerson,3,4,1,2,0,6,-14,2
175,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",c9de5302-c529-4955-809c-5226acf08f46,Goldenberg,1,5,1,0,0,4,3,14
176,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",51c5ce0d-b61d-4c1b-9367-619cbe0da82b,Astor,2,0,6,2,6,4,-16,4
177,"Frolicher-Stehli, Mr. Maxmillian",1ff03e27-b9ea-44bd-96af-401c92a0e439,Frolicher-Stehli,4,0,2,2,2,4,28,42
178,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",e7188884-d4a0-44bd-947d-bdff8f376020,Spedden,5,1,6,6,0,2,16,36
179,"Beesley, Mr. Lawrence",bc3f3a37-dd73-4a82-99b3-4f677c3f17a0,Beesley,3,6,3,3,0,1,-5,11
180,"Berriman, Mr. William John",6b71af60-fcd5-4fa1-95ec-e6f0cf228b34,Berriman,0,2,0,6,4,3,-7,8
181,"Bowenur, Mr. Solomon",6e92ecc0-e2f7-46ea-8948-c3d13c0a2a7c,Bowenur,4,3,0,0,4,6,27,44
182,"Stewart, Mr. Albert A",fc261382-21b7-4421-8c71-4cdf78505926,Stewart,2,2,4,6,6,2,9,31
183,"Sloper, Mr. William Thompson",95ed44b3-1ea3-4e05-bf3e-7684de762deb,Sloper,1,5,4,1,4,5,12,32
184,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",3c22ce96-e780-495f-bebf-4de9ff71946c,Futrelle,3,2,5,2,5,1,12,30
185,"Harrison, Mr. William",0c8690b8-6db7-4fde-a6f2-dabb088f9799,Harrison,1,1,3,1,0,0,16,22
186,"Flegenheim, Mrs. Alfred (Antoinette)",98af2f7a-1671-468c-9830-96041244211e,Flegenheim,0,4,6,0,1,3,-6,8
187,"Wilson, Miss. Helen Alice",fcee3afa-6090-4a90-a557-99364536abd5,Wilson,2,5,6,5,2,1,-17,4
188,"Marechal, Mr. Pierre",57e53cbc-7bdf-4c10-8aa6-55a796987f45,Marechal,1,4,1,6,3,1,12,28
189,"Clifford, Mr. George Quincy",8677f145-458f-49ec-baa8-8959ccf4e01d,Clifford,5,4,4,5,2,6,14,40
190,"Aldworth, Mr. Charles Augustus",c136f2fe-7424-442d-97bc-2698b57166de,Aldworth,3,4,1,0,3,5,27,43
191,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",c2402559-72bc-4049-af33-f309150e39bd,Harris,2,5,2,4,0,3,3,19
192,"Hoyt, Mr. William Fisher",04383b66-a10d-473c-ba90-f28b18d7a8e9,Hoyt,3,1,1,1,5,5,21,37
193,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",429853db-a97d-4b09-b1da-2dc0044beaa1,Duff Gordon,0,5,6,3,4,6,-13,11
194,"Evans, Miss. Edith Corse",b800f01c-8b54-4470-90db-e4c6227a0773,Evans,5,1,6,2,4,5,-8,15
195,"Silvey, Mr. William Baird",64fc4a8f-f5d2-41f5-8c08-b1150daff43f,Silvey,4,6,2,1,2,3,13,31
