Last Name,ID,Availability,Midterm 1
Graham,db4cefac-c1ff-4724-9d9b-9b6733697d88,Yes,3
Simonius-Blumer,60fa88ca-1882-4f8b-a469-ca7edea920cb,Yes,2
Davidson,15fbf75f-df67-4288-9f30-d03fe6b1fb5e,Yes,26
Baxter,28126485-4d92-47f2-9d2b-d65f32594d5c,Yes,29
Walker,e0d27cc2-bc2d-4c04-bf38-15a57665ab5e,Yes,1
Barkworth,84c596b8-9e0b-4c6d-adb6-2491b69f0a8d,Yes,29
Rosenshine,604fe668-4aff-4b5c-9b39-95aac92d2061,Yes,4
Potter,66eb7226-7582-4f52-b366-15351abb53c6,Yes,24
Greenfield,d5c384c6-c56f-40de-a718-3bd390368e2b,Yes,26
Aubart,e502c238-7b62-4ddf-99d5-98c2e49149c4,Yes,10
Dulles,9150098e-9215-4dcb-9927-3d0c97e294c4,Yes,31
Ball,67fe5434-2eb9-41ec-b977-f508bd819f22,Yes,26
Perreault,5cf38eac-13f0-4d81-8efe-00a1646e049f,Yes,0
Dick,71b7daea-1cea-42ec-a7f5-d306b474b1d4,Yes,16
Bowen,76bfebd2-a4d8-47cc-80e3-20f188dcfad3,Yes,8
Nicholson,5ab7208f-2296-487f-8ddc-aa9856c7b108,Yes,24
Bradley,77832492-9684-476f-80d3-e29a0d797db1,Yes,14
Natsch,733d2e9f-8aab-45b0-acac-bf3610c62190,Yes,3
Romaine,e96f1b57-a698-4953-8da4-2f67156d0609,Yes,13
Fortune,f8c870e6-fae0-4c36-aee4-3170766d3f75,Yes,28
Beane,dcb5e1ab-1f07-4dac-b47e-fc33d649f300,Yes,41
Blackwell,ca7594b8-8f17-4843-8570-ee6299d94e13,Yes,25
Robert,ded4f8dc-4c11-4d68-a399-f4de38568bfa,Yes,4
Holverson,d3036e7a-17e2-451f-9810-da986c5ca1c0,Yes,16
Carter,f09fd357-a1d4-4d54-95e3-50a0a026ece2,Yes,40
Julian,12cc912f-b394-44fd-b394-223211d52798,Yes,23
Greenfield,8724ad53-e4cd-4ffc-843e-3e0be8702b9f,Yes,24
Snyder,67bc61a9-2d6a-4df4-b9a9-50c6129bdcc8,Yes,35
Widener,33e155fe-3cdb-4293-a6b9-b947061a8147,Yes,15
Fry,26d6f609-ce7d-4d32-acfe-5f8532370224,Yes,28
Brown,931f8308-4a82-4795-b6aa-928205343c22,Yes,34
Williams,2e481851-b0ab-4d20-8ac8-0b26d75efe9d,Yes,25
Carter,a7227878-cf61-4278-8b5a-d3d7b5969665,Yes,44
Rothschild,864a3191-0eca-417e-b091-c7f061e80a0c,Yes,23
Newell,1f9f3a34-dd8e-4045-84aa-42b204c2c4f6,Yes,40
Smart,3ef53085-14a8-4f61-84ee-6bcc0674651b,Yes,42
Serepeca,ebfc5c69-ee24-401a-a15e-cbf49ca77c87,Yes,20
Barber,57dcb0fd-1f89-4d17-b5fe-bad04743d9ad,Yes,42
Bryhl,c7b2cd28-5092-4a68-964d-f09040b95760,Yes,20
Allen,770db845-7512-4e99-9ca3-c18f13a27f72,Yes,9
Gee,eeaec519-0b90-4203-bde1-8c441cd0b703,Yes,27
Brown,5383f330-41b7-492a-81c5-a105ee9ee32b,Yes,0
Foreman,07ce1c0a-c00f-45c5-901a-8f8ad9aaf7bd,Yes,30
Molson,c43acf7d-ec2e-4be6-824a-77f87764a1a2,Yes,20
Harder,79625c89-eddc-410f-a1b4-1dcf9eca1455,Yes,9
Ismay,9d23d393-bfff-4676-bb5f-f05367810022,Yes,3
Icard,0702b8ae-3c8f-4901-bcbc-52a0c5bc0900,Yes,0
Hoyt,e348ed44-7764-4c1b-894f-10e8fa84990d,Yes,8
Smith,643dee4a-5318-4c3c-a687-71af52957333,Yes,36
Calderhead,35851b69-7d41-4a7e-8d59-6b021e0a2dc0,Yes,25
McCarthy,f4a75522-ac5a-404c-ae28-346d3d075546,Yes,29
Crosby,5a28040e-0dbb-4953-aff3-c29f758e1724,Yes,26
Wick,a205ed2a-16d8-4f88-a1ed-ff3d890f401e,Yes,34
Earnshaw,9cc3164e-e361-47e0-8778-524df10877a7,Yes,27
Klaber,b57f1857-8892-4f8e-9776-e44e1f2d9324,Yes,37
Collyer,21cd8036-6409-4969-ae00-936dfd590adb,Yes,0
Stahelin-Maeglin,0c96500b-8c6d-4848-b21c-1b3447e060b2,Yes,37
Seward,547f2f29-5c56-45f1-8ee8-61ef8278637a,Yes,19
Spedden,6f332e0d-aacc-47ef-a5a1-f238cd20c4d7,Yes,27
Taussig,bd54630a-d5ad-43a8-8c06-e3ad81814f35,Yes,36
Penasco y Castellana,4e426f70-2b59-42ab-9c11-3509dc9f3eff,Yes,34
Wick,0e246865-7f63-48b9-b744-f62a686ec595,Yes,26
Smith,387cd735-7aa7-411c-9f97-7242667f94e4,Yes,4
Andrews,821b105b-07cd-4baa-a457-ac07d5fa40a5,Yes,9
Roebling,f2cd4beb-1deb-4253-8385-9372c0f6baa3,Yes,19
Frolicher-Stehli,f6a819ee-4650-4d72-a361-01ff82f35cc2,Yes,19
Andrew,4d1fa7f0-65be-4d0f-8a16-9c8568bd96bb,Yes,37
Dodge,07988cbf-c34c-41fa-8a1a-c875545a7853,Yes,18
Drew,930f9d7a-d3cd-4725-9161-2904f60ab963,Yes,41
Omont,6e777718-d8a4-4c6d-bbd6-a8af06224d1c,Yes,14
Dodge,fb7f46ae-56ca-4dcf-8836-08e407cb8766,Yes,16
Sutton,1a8f862a-c188-4baa-83fd-7fcbebdc4353,Yes,6
Smith,fae4d644-42c5-42a9-93fa-dfb9323de0d5,Yes,14
Cumings,b3846e9f-f1e1-4853-88a7-9765bb10a3c2,Yes,35
Drew,67a42c7b-18cd-4762-86e6-25b6ee3cd1c7,Yes,38
Giglio,897487ae-3e16-4d08-8560-0756f44448f2,Yes,39
Straus,78ff1ae5-1c74-443d-8cb8-375922ff59da,Yes,2
Ryerson,6c59420d-5efb-467d-a260-3a5b4ea31ab0,Yes,2
Goldenberg,c9de5302-c529-4955-809c-5226acf08f46,Yes,14
Astor,51c5ce0d-b61d-4c1b-9367-619cbe0da82b,Yes,4
Frolicher-Stehli,1ff03e27-b9ea-44bd-96af-401c92a0e439,Yes,42
Spedden,e7188884-d4a0-44bd-947d-bdff8f376020,Yes,36
Beesley,bc3f3a37-dd73-4a82-99b3-4f677c3f17a0,Yes,11
Berriman,6b71af60-fcd5-4fa1-95ec-e6f0cf228b34,Yes,8
Bowenur,6e92ecc0-e2f7-46ea-8948-c3d13c0a2a7c,Yes,44
Stewart,fc261382-21b7-4421-8c71-4cdf78505926,Yes,31
Sloper,95ed44b3-1ea3-4e05-bf3e-7684de762deb,Yes,32
Futrelle,3c22ce96-e780-495f-bebf-4de9ff71946c,Yes,44
Harrison,0c8690b8-6db7-4fde-a6f2-dabb088f9799,Yes,22
Flegenheim,98af2f7a-1671-468c-9830-96041244211e,Yes,8
Wilson,fcee3afa-6090-4a90-a557-99364536abd5,Yes,4
Marechal,57e53cbc-7bdf-4c10-8aa6-55a796987f45,Yes,28
Clifford,8677f145-458f-49ec-baa8-8959ccf4e01d,Yes,40
Aldworth,c136f2fe-7424-442d-97bc-2698b57166de,Yes,43
Harris,c2402559-72bc-4049-af33-f309150e39bd,Yes,19
Hoyt,04383b66-a10d-473c-ba90-f28b18d7a8e9,Yes,37
Duff Gordon,429853db-a97d-4b09-b1da-2dc0044beaa1,Yes,35
Evans,b800f01c-8b54-4470-90db-e4c6227a0773,Yes,15
Silvey,64fc4a8f-f5d2-41f5-8c08-b1150daff43f,Yes,31
Dick,523a9dd7-39aa-4ae8-8167-211247a899e2,Yes,6
Andrew,7363f2a2-a6be-47ee-a0d6-2d0cba67fa50,Yes,33
Chaffee,f793f934-8834-4c94-80b3-df1ba84836f4,Yes,0
Davidson,1e9d4f5e-9b62-498a-9d7e-eac053b7bccb,Yes,16
Brewe,3e7d708f-aacd-4e99-b0ec-50f5ae510463,Yes,2
Frauenthal,71270e27-e8fc-440a-a389-c9fe5b6a9539,Yes,11
Chevre,4b2c2822-798e-4eec-8590-9e9e07092fda,Yes,34
Bjornstrom-Steffansson,c861d090-3591-49ef-af26-1457bd61d65f,Yes,26
Wick,6484cdd4-ab5f-418f-bdb5-8767826e2927,Yes,21
Farthing,8a23cb87-53bf-4d6a-9b93-ab6fd0e99251,Yes,22
Oliva y Ocana,5901932d-f5e3-4992-a036-cd7c60756872,Yes,34
Butt,7a68980f-4ad3-4daf-ac5d-fac4c5135f35,Yes,40
Geiger,dcd4d089-9801-4821-878d-b096a0d68a57,Yes,35
Hays,4693554a-9d40-457a-8c2f-c75203e73c67,Yes,30
Cavendish,3dffd12c-e36c-4150-943e-b86e47b16f1a,Yes,16
Cunningham,8af029ad-198e-4d69-aae5-96bba37d35c8,Yes,19
Birnbaum,fa6d7c0f-92f6-47ca-adf3-e4c5c65e027c,Yes,30
Brown,86928ec5-0542-42e7-8f9d-ea91cf586869,Yes,15
Eustis,5e235e66-aa93-4fd8-8100-4673e24ea7f7,Yes,12
Thorne,78fdd68a-42f3-4f56-97a2-bd50e7e0233d,Yes,23
Bazzani,1b89b902-97f4-4478-a236-22405eb55984,Yes,10
Futrelle,8583e749-7bcb-443d-9357-8cc5320dcad9,Yes,27
Stead,73edf8b1-037b-4709-8afb-5a63bd8e4c2e,Yes,38
Millet,e9a7663e-f776-43e9-972d-642d31737461,Yes,30
Minahan,345eda90-82d8-433b-a4cf-7d32efd2fd9a,Yes,1
Widener,80e648d0-8dd5-4846-bc15-22d6c61de0d3,Yes,37
Wright,c0803893-774f-49f2-b838-20ea464a957e,Yes,5
Bird,3eefc764-728a-45e2-a648-0229857b0aac,Yes,10
Cumings,56687341-924f-4c9c-9dd0-99534b79eb64,Yes,13
Beauchamp,61dcc104-9494-4d80-87e7-4b0969d28602,Yes,26
Meyer,1d561fcf-6dc4-4d78-a961-c47f83864ef3,Yes,34
Kent,1db14a59-8c2d-4bdf-9ab2-03a86ddda0cc,Yes,10
Becker,25990b9f-c59e-4b0b-841f-e8998957f57d,Yes,40
Chapman,4096e8ce-7f0d-4888-9b17-957ebd69cd8a,Yes,38
Gibson,5a570b61-a7e7-4e10-bde6-2859f2b84261,Yes,18
Woolner,25224d0f-2255-4099-820b-fede60e75262,Yes,1
Davies,79378a1a-2d37-4090-a924-ef66b4077fef,Yes,39
del Carlo,06b94467-2598-4d5c-8992-d8cf6393027b,Yes,13
Ward,d81e0501-d536-43bb-8155-16f5ae35a835,Yes,39
Fortune,15efa001-cfd6-4a47-b763-76d649ad15b2,Yes,5
Allison,4a2a4268-ba5c-4d3c-a6c2-4caf0bf19122,Yes,11
Borebank,9c33a589-1313-4e6f-9819-86156ad7006b,Yes,40
Douglas,e2b90f0e-44b6-4769-8c10-e90e136667e5,Yes,43
Bryhl,2deb4daf-4fb2-4009-8f49-284c7c51521d,Yes,35
Pears,2306fd58-dae5-45a8-a6ab-33e123a86fb5,Yes,6
Bissette,474d3ac7-8268-4623-b1bf-8cfbf7d523ba,Yes,27
Kenyon,f9b40c32-f31a-4311-810b-ac3674b556ea,Yes,14
Hippach,9a27eccf-73bd-4340-83a7-47bdbae1abe1,Yes,42
Ryerson,67feda5c-218a-4092-ac83-3deb12952b26,Yes,1
Abelson,e5f04197-256a-412d-b6b9-a15aa08fab60,Yes,21
Brown,e11d516e-ed86-4e6f-b0b0-92f32f3b3d2f,Yes,19
Lines,ca71f269-cc0c-42de-982b-0d301799b0a5,Yes,36
Silvey,a134ebfd-c6cb-4f60-8ee3-2b3a014d299f,Yes,40
Candee,6d0340aa-6a2c-4161-9644-49bf2f3df71a,Yes,15
Bateman,d4c90356-e6f3-484b-995d-b42ea9d47f59,Yes,0
Chaffee,715e21db-a95d-439c-beb6-6522dec20b10,Yes,16
Christy,5c4e8d31-dd2d-4424-ad16-8c47bfceb979,Yes,38
Cavendish,f52fd8ce-28fa-408d-8140-53d9909eab7d,Yes,8
Van der hoef,a1b6c050-b27f-4119-94b7-3c13f0077c70,Yes,28
Hassab,16e9a6c7-ae4e-4c33-9339-84c466c826ba,Yes,23
Bracken,7776dbe0-5882-4826-a447-00204b38dc02,Yes,29
Hawksford,5c6e75a2-2ae3-4840-bf8d-e4235e87b9de,Yes,33
Jones,07d24f5d-1acf-4d55-b833-dddae1c5a1bf,Yes,24
Case,3b3291cf-0c2a-43de-b4ae-87e921db8690,Yes,13
White,8b8b31f6-1421-4cd0-9c30-24d587232dc3,Yes,33
Taussig,b43f9b6b-9278-45f3-be71-e810f5055e86,Yes,10
Harrington,58a11d57-83b8-4aae-bab8-4217d4a6cb2a,Yes,12
Long,cf0cfdf2-4a20-40df-9bce-8ddcff67e3a0,Yes,34
Spencer,2a0ba7c1-0f0b-4e40-a0c0-8f5296febb5d,Yes,30
Hippach,e7c6aac2-ca1b-4e5b-916b-036e79963f90,Yes,24
Allison,c2c950af-ddf4-47ef-978a-c125e96b529e,Yes,9
Davis,d1bf49da-06ee-4307-b356-48f2901064ac,Yes,36
Rothschild,034253da-fb61-4374-bff2-15cfd4e9a408,Yes,14
Gibson,21247a9d-75a9-4b8c-945b-e69c9650a33b,Yes,37
Williams,3605e0ae-4e56-41e6-b2f2-15812c98749f,Yes,12
del Carlo,177832e9-ca26-46c9-9f0e-c5046751fbc0,Yes,19
Angle,107e412e-a9c6-4d5d-a7bf-dfba44243c3f,Yes,8
Baxter,8f88d8c9-c766-4fa5-a627-8c3df237b3c7,Yes,26
Carlsson,323277e1-b9d4-42cf-a29b-a9b9715239d4,Yes,22
Brady,cd7b1c02-610b-4865-8164-7a61244b07a0,Yes,16
Carter,8b0fbc53-9178-465d-8c2d-ba5552cdf512,Yes,13
Beckwith,fab60c19-dc19-430b-8159-952ce4c03e97,Yes,9
Rood,f87f77d4-4082-45b9-a286-82df347e890b,Yes,13
Ostby,b7619ed6-edba-4741-8bb3-31bc0d29bc7b,Yes,31
Newell,2299baac-2a3a-49cd-b808-dd15a8a94caa,Yes,43
Taylor,11e9c2af-b42e-427a-9c56-7eb472a783ef,Yes,27
Shutes,af4bd6f3-a12a-4d05-90e3-3294174b4f6d,Yes,12
Bailey,5157d415-bf6e-487b-940c-b1905e1b1f71,Yes,10
Behr,5050e4a7-e150-425e-8e2d-ff605ebe8675,Yes,8
Kimball,d1ba6afe-42ed-44b7-aac1-59a2c3d75ff5,Yes,36
Cardeza,f113974b-2da3-41d5-af76-349d1635d4d2,Yes,9
Madill,3d29d5b9-78e5-44be-b7f0-433bb555e36a,Yes,7
Ryerson,25abf322-5b2b-43bf-af76-9ad6de6f6cb6,Yes,20
McCaffry,8a960256-cf89-440e-a0d8-7805529afa0f,Yes,32
Fortune,5d96cff6-9cdd-433e-b9f7-4ad06b99b236,Yes,20
Homer,f32b9725-0ac8-49af-8219-bfac023d7452,Yes,7
Denbury,1e90bb34-fb7a-48b0-a761-ad886e8e44e4,Yes,39
Artagaveytia,d4163ed3-9873-4951-8769-a683eb3a6693,Yes,16
Brandeis,2f0ac579-a1aa-48b1-8789-fb964b21e050,Yes,17
Baumann,abab6036-7722-4e3f-a079-0f82b19bf4bb,Yes,30
Becker,ba697ab6-eb98-48f0-bdd6-4afdf44e6262,Yes,29
Beattie,f7902f79-a3af-4c04-9bac-e45a55c5449c,Yes,4
Carrau,dfffc62f-b9aa-4c4a-b465-a279f302a204,Yes,6
Payne,3973dcd5-b6d1-4f74-9f32-841cbb9a2391,Yes,29
Bishop,1a94f8b3-ca58-4c10-9e31-86902de22714,Yes,35
Botsford,9238bf25-f0ed-4cbc-8a86-801a999316b4,Yes,17
Cameron,4060bd43-b09c-4a1b-8e79-3e10381d9c1d,Yes,34
Chibnall,0705c286-3b1a-4b1e-af85-47f948c157d8,Yes,8
Buss,76f23663-448d-447f-9bf4-233ab3711d40,Yes,36
Stengel,0e763563-cc9e-4d36-b10e-72af3491602f,Yes,29
Coleridge,2470a445-9995-44c9-bd6e-a49a0e13ab72,Yes,0
Frolicher,62a597fa-ef5e-42d0-9475-843be3c6b473,Yes,33
Clark,2339dab0-8d82-4099-a46a-53f8bde17c52,Yes,6
Lindstrom,86db64da-7045-4aef-b185-3ae6017cf5f3,Yes,24
Holverson,fb545b23-1aa7-413c-9e93-c839b8011c78,Yes,5
Kimball,46fba376-23ff-46fc-8907-1bf431e564e5,Yes,20
Carter,cd54892d-83fe-44a7-8be3-9ba7096e23ea,Yes,14
Collett,ff45740e-70d3-4741-a4db-954bbb210684,Yes,12
Chaudanson,652a4761-3de8-498c-876f-67c42d517c62,Yes,18
Byles,dafd7530-76c8-4fa3-9f37-3970f3d92c64,Yes,16
Collyer,2d53a2bf-3238-4f80-8101-ac04fe8febe6,Yes,19
Loring,bda8ea47-1680-4327-9519-49687c0f4ebf,Yes,17
Willard,06f2ddde-5db4-4c1f-aab1-b0658a83d3c8,Yes,28
Penasco y Castellana,3b1f9442-2bb5-469f-a443-f1ec7e0b7434,Yes,8
Graham,b5c428b3-fbba-44da-8cb9-9ad059da27a7,Yes,16
Reuchlin,7148d084-b3be-4474-8206-980e0744a25f,Yes,9
Daly,4620522a-544b-4a62-ac95-58135574c0b2,Yes,15
Lindeberg-Lind,cec4d468-bdae-4139-9d9b-354dfc163981,Yes,3
Lines,a0b36028-cc7c-4b69-8e05-39207bbdc6cd,Yes,21
Partner,dc8406e5-9535-4314-a2e2-9669a5bda592,Yes,4
Corey,6d6b6d1c-7e4b-4953-8973-3ecda4cfa2f4,Yes,29
Head,9eabe28e-99df-4ab9-a98d-248e70e63514,Yes,29
Duff Gordon,c3314cd3-a244-4526-921e-45d1d6dcc241,Yes,13
Silverthorne,638be880-9b4d-4cd7-829c-7fef6b1f0c47,Yes,0
Warren,8cd4e01b-ae1d-4b2f-8924-21343008f2a1,Yes,1
Peuchen,4d8ebc20-dc0f-4a8a-ba26-eebe6ab4d2f4,Yes,9
Taylor,c442aa3f-6bcd-4533-bc5e-7b90fb7db2e9,Yes,37
Stone,803eeabb-e03e-4ab3-98e7-a8dcbf8a9783,Yes,17
Frauenthal,48755b18-6f1b-4c4c-8ff2-420dd1be402c,Yes,34
Deacon,5c5b00d7-e2d7-428d-ac88-2e32a617de33,Yes,23
Bidois,a27b5764-345f-4dc7-8e33-bb366485108f,Yes,33
Fleming,277ccd0d-0efb-40c5-a6a2-22cab7601823,Yes,41
Francatelli,474e4e7b-ee6a-499a-b72c-dc09cf537b05,Yes,5
Cherry,febef317-d7e3-4eee-83a4-cc3c1f4ad6a8,Yes,30
Doling,8aafa794-be96-425d-8a60-f6ae52e00bdb,Yes,18
Crosby,0a15a1a1-45e2-41d6-bc8e-a5d3c78c4c45,Yes,29
Blank,b6a1df5a-608d-4ad4-93dc-88b92786a65b,Yes,19
Crosby,0c8a2da5-bb52-4731-8626-5665e16bed44,Yes,8
Kenyon,0d5f4929-36cd-4d65-b182-6d72305c7a3b,Yes,13
Davies,cde013f0-bfc0-4a1c-b568-90a7e3a2ffd6,Yes,18
Cleaver,ee20c63b-328a-4795-848a-3b9a6fb64e16,Yes,15
Christy,7ce27846-0cbb-40f5-b4b6-417802f36225,Yes,16
Beane,cc675d9b-1b56-4d38-aba8-c113b234a644,Yes,1
Mock,ceb8deb8-dae1-44c7-974a-b97c42167f96,Yes,23
Pears,fa27f6e6-2d27-4a15-9a00-1ddb915ee4cc,Yes,30
Robbins,041be35c-33e3-4e0f-a19c-bf16c82656f1,Yes,34
Fortune,a0276d11-638c-460b-9808-793a1fe0b69b,Yes,20
Chambers,8bad9888-a287-4387-a85b-14ee621c6632,Yes,16
Angle,fc4a139b-71b5-4505-9183-a35c2b732dbb,Yes,41
Thayer,00d7c135-da69-4624-a3d8-7e291eedb881,Yes,29
Daniels,edd98913-be2d-4685-8a5f-261b65f5ce95,Yes,9
Marvin,fbd21436-51d7-4300-8c8f-b7516cd4239b,Yes,31
Cassebeer,06b93860-20a9-4960-b6f8-59e78a60b0ec,Yes,31
Snyder,a72d9462-4204-4bab-bc86-35e071db8094,Yes,14
Bonnell,e5889fe1-64aa-4132-a153-303d13f6d46a,Yes,10
Stengel,cfe49bba-e3ad-4189-9a46-f2b847674a28,Yes,22
Cornell,b34b56b9-6866-4495-b026-26e6c654fe4c,Yes,42
Goldenberg,19adfc75-965a-42e2-9d96-94fdc7ef7519,Yes,0
Downton,73780756-4c73-49aa-9c55-71fdb505d488,Yes,21
Ross,6e2fe03a-ba01-48af-91bb-07d0d16b5a79,Yes,2
